feature,importance
white_complexity_time_product,0.15680428
white_time_variance_opening,0.092465214
white_avg_time_opening,0.06480649
white_avg_time_middlegame,0.0631488
opening_aggression_score,0.054604627
book_deviation_move,0.043044526
num_moves,0.03469794
white_avg_time_endgame,0.03411295
white_avg_centipawn_loss,0.034092754
avg_position_complexity,0.03166572
white_time_variance_middlegame,0.030827671
white_low_time_to_trouble_ratio,0.025670124
white_mistake_rate,0.025198946
material_imbalance_freq,0.024334697
white_low_time_move_ratio,0.02233975
white_accuracy_percentage,0.021784408
piece_activity_score,0.021621695
white_time_variance_total,0.020821238
white_time_trouble_frequency,0.019098328
white_time_opening_frac,0.019015403
white_blunder_rate,0.018915238
white_opening_vs_endgame_time_ratio,0.018394273
white_mistakes_per_40_moves,0.017687311
white_time_per_complexity_opening,0.016275587
white_time_per_complexity_endgame,0.01566279
white_blunders_per_40_moves,0.015133374
white_time_variance_endgame,0.015075192
white_time_endgame_frac,0.014826717
white_time_middlegame_frac,0.014577196
white_time_per_complexity_middlegame,0.013296956
