feature,importance
white_complexity_time_product,0.15744936
white_time_variance_opening,0.08955031
white_avg_time_opening,0.06750034
white_avg_time_middlegame,0.06383172
opening_aggression_score,0.056617357
white_blunder_rate,0.041304324
num_moves,0.037734102
white_avg_time_endgame,0.034328137
avg_position_complexity,0.03222522
material_imbalance_freq,0.031322155
white_time_variance_middlegame,0.030548291
white_avg_centipawn_loss,0.027418302
white_low_time_to_trouble_ratio,0.025712049
piece_activity_score,0.023984335
white_mistake_rate,0.022850629
white_low_time_move_ratio,0.022679072
book_deviation_move,0.02174027
white_time_variance_total,0.020791246
white_time_trouble_frequency,0.01932435
white_opening_vs_endgame_time_ratio,0.018905299
white_time_opening_frac,0.018736517
white_time_per_complexity_opening,0.016341468
white_blunders_per_40_moves,0.015483395
white_time_endgame_frac,0.015303754
white_accuracy_percentage,0.015275608
white_time_per_complexity_endgame,0.015167843
white_time_variance_endgame,0.015154054
white_mistakes_per_40_moves,0.014831195
white_time_middlegame_frac,0.014399088
white_time_per_complexity_middlegame,0.013490173
